# Bench capture, 2026-08-21. Raw ADS1115 counts.
# col 1 = probe A (AIN0), col 2 = probe BC (AIN1).
# A rest ~ -2049, A touched ~ +660.
# BC rest = noisy positive, BC touched = negative (crosstalk floor ~ -2049,
# genuine simultaneous touch reaches ~ -3900).
-2049	718
-2050	1965
-2050	411
-2049	1110
-2049	1495
-2049	842
-2049	1983
-2049	1308
-2050	604
-2049	15
-2049	1647
-2049	615
-2049	1598
-2049	130
-2050	581
-2050	1790
-2050	1940
-2049	2023
-2049	302
-2049	598
-2049	1612
-2049	319
-2049	1371
-2049	1795
-2049	1528
-2049	1503
-2050	1749
-2049	69
-2050	635
660	483
660	979
662	140
660	-2048
659	-2049
660	-2049
660	-2050
660	-3947
660	-3766
-2050	623
659	1376
660	353
-2049	120
-2049	1063
-2049	372
-2050	-2049
-2050	257
657	-2050
659	-2049
636	-2050
358	-2050
1086	-2050
643	-2049
396	-2050
655	-2049
658	-2050
658	-2049
657	-2050
-2049	1568
-2049	1135
-2050	1047
-2049	368
-2049	1607
-2049	621
-2049	684
-2050	1521
-2050	259
-2049	1269
-2049	1615
-2049	372
-2049	1649
-2049	243
-2049	182
-2050	455
-2050	1299
-2049	1709
-2050	34
-2049	1402
-2049	1080
-2049	722
-2049	1900
-2050	1810
-2049	744
659	642
660	534
659	1516
659	2023
659	792
660	-2050
660	-2049
659	-2050
660	-2050
-2050	936
-2049	796
-2050	191
-2050	421
-2049	633
-2050	33
